searchSlur,Slur,Represents,Reason
californiaroll,California Roll,Asian/White,Much like the food a mix of American and Asian. Also Asians and thus half-Asians are much more prevalent on the west coast than on the East.
calpurnia,Calpurnia,Blacks,Black women that are nannies. Comes from the character Calpurnia in the book To Kill a Mocking Bird.
camelcowboy,Camel Cowboy,Arabs,They ride camels like cowboys ride horses.
camelcrunch,Camel Crunch,Arabs,From the cereal Captin Crunch only the Arabian version
cameljockey,Camel Jockey,Arabs,From camels being a major form of transportation in the Middle Eastern countries.
camellips,Camel Lips,Blacks,Self Explanatory
camel-fucker,Camel-Fucker,Arabs,Refers to lonely Arab shepherds.
camel-jacker,Camel-Jacker,Arabs,A take off on Camel Jockey and Camel-Humper. This refers to the act of stimulating a camel by hand.
campers,Campers,Jews,WWII reference and the propensity of Jewish parents to send their children to summer camps.
can'ardly,Can'ardly,Asians,They can'ardly see originated in Australia.
can-kicker,Can-Kicker,Puerto Ricans,They play baseball and soccer with crushed cans.
canadian,Canadian,Blacks,Used as a masked replacement for 'Nigger.'
canadiangoose,Canadian Goose,Jews,Joe Kennedy used this term in public to refer to Jews without anyone knowing he was doing so.  Refers to Jews being loud pesty and foreign (as the geese are in Massachusetts) and having big noses
canasian,Canasian,Mixed Races,Canadian/Asian mix.  Used in the US to describe annoying Asians that come down from Canada to shop.
candyman,Candy Man,Blacks,Named after Sammy Davis Jr.'s famous song the Candy Man.
caneater,Caneater,Australians,Differing origins. 1.) A reference to the amount of canned beer they consume or 2.) A reference to rural Australians who hail from the area where sugar cane is grown. #2 would require it be spelled cane-eater if you prefer.
canigger,Canigger,Blacks,Combination of Canadian and Nigger for black Canadians.
cankee/cankie,Cankee/Cankie,Canadians,Canadian-Yankee.
cannedlabor,Canned Labor,Mexicans,Origin Unknown Afri(can) Mexi(can) Etc. Labor
canuck,Canuck,Canadians,From Johnny Canuck emerging in 1869 as a younger simpler cousin to America's Uncle Sam or Britain's John Bull. Reborn during World War II as Canada's 'defender from the Nazi menace.' Could only be a slur if you say it the right way.
canucklehead,Canucklehead,Canadians,Diminutive of Canuck.
canyada,Canyada,Canadians,Insulting Canada as being as unimportant as our neighbors to the South (Mexico). Usually refferred to Canyada-our 51st state.
captain,Captain,Turks,English rhyming slang. Captain Kirk = Turk
carthief,Car Thief,Hispanics,Based on the stereotype that Hispanics steal cars
caramel,Caramel,Mixed Races,Not chocolate not vanilla Caramel
cargo,Cargo,Blacks,Slave ship reference.
carlwinslow,Carl Winslow,Blacks,Obese black males.  Reference to character from Family Matters TV show.
carlton(banks),Carlton (Banks),Blacks,Black males who behave like whites or talk very proper. Fresh Prince of Bel-Air reference.
carnie,Carnie,Mexicans,A lot of mexicans are carnies.
carpetpilot,Carpet Pilot,Arabs,Reference to Aladdin and his magic flying carpet. Also: Carpet Jockey
carpetbagger,Carpetbagger,Americans,During the post-Civil War reconstruction era businessmen from the North moved to the South with their possessions in bags made out of cheap carpets.
carrotsnapper,Carrot Snapper,Mormons,Refers to the mormon tradition of growing and canning foods for storage.
carrottop,Carrot Top,Irish,Hair color.
casabooboo,Casabooboo,Blacks,From 1960s African leader Casavubu.
cascos,Cascos,Mixed Races,White/Black mix. Describes the offspring of two mulattos. See: Mulatto.
cashew,Cashew,Jews,Catholic Jews. Mainly the children of a Jew and a Catholic. Originated from a standup routine by Jack Carter in the 60s
casino,Casino,Native Americans,In reference to the many casinos popping up on Indian reservations all over America
casper,Casper,Whites,Casper the friendly ghost
castiron,Cast Iron,Blacks,The color of cast iron after weathering or black pipe - plumber's term for ungalvanized cast/ductile iron.
cat-lick,Cat-lick,Irish,Catholic - Cat-lick.
caublasian,Caublasian,Mixed Races,A caucasian black and asian person. Pronounced Kuh-blasian (example: Tiger Woods)
caucasianally-challenged,Caucasianally- Challenged,Non-Whites,Self-explanatory.
caucazoid,Caucazoid,Whites,A word used to belittle or poke fun at the caucasian designation for whites.
caulkie,Caulkie,Whites,Caulk is white.
cavenigger,Cave Nigger,Arabs,Osama Bin Laden reference
caveman,Caveman,Whites,Refers to the Neanderthals living in caves; used by rappers.
cbc,CBC,Chinese,Canadian Born Chinese. A Canadian Chinese person who does not understand Chinese culture. CBC is also a major television network in Canada.
celestial,Celestial,Chinese,Mainly used in the past by whites to describe the Chinese whom they saw as strange and from some where far away. The Chinese used to refer to their nation as the Celestial Empire
centerdenter,Center Denter,Arabs,Destroying the World Trade Center
chack,Chack,Mixed Races,Chinese/Black
chad,Chad,Blacks,Chad is the country next to Niger in Africa
chaindragger,Chain Dragger,Blacks,Refers to being on a prison chain gang.
chale,Chale,Chinese,Informal/derogatory term used by Hispanics primarily in Mexico to refer to Chinese people. As in Cafe de Chales = Chinese-run or owned cafe.
chalky,Chalky,Blacks,Heard throughout Ireland extremely derogatory word for blacks who have an increasing number in the Irish population.
chalupa,Chalupa,Mexicans,The popular Mexican food dish
cham,Cham,Hispanics,CHicano AMerican.
champi�on,Champi�on,Ecuadorians,Champi�on is used by Spaniards to refer to Ecuadorian immigrants in Spain.  In Spanish champi�on means mushroom.  The stereotypical person from Ecuador is short with a big head giving the appearance of a mushroom.
chang-ke,Chang-Ke,Chinese,Derogatory Korean word for the Chinese
chango,Chango,Blacks,Used by Hispanics. Spanish word meaning monkey.
chankoro,Chankoro,Chinese,Derogatory Japanese word for chink
chap,Chap,Asians,Chinese/Japanese mix
chapin,Chapin,Guatemalans,Nickname to describe people from Guatemala non-derogratory used to describe themselves
chapta,Chapta,Chinese,Chapta means flat in Hindi.
chara,Chara,Indians,A South African term for Indians. Not as derogatory as coolie
charcoalbriquette,Charcoal Briquette,Blacks,Used by Tony Soprano from The Sopranos to represent his daughter's half black boyfriend.
charlie,Charlie,Vietnamese,Originated during the Vietnam War (1960-1974) from the phrase 'Viet Cong' shortened to V.C. which in the military phonetic alphabet is 'Victor Charles' which gets you to 'Charlie.'
cheaplabor,Cheap Labor,Hispanics,Because minimum wage only applies to U.S. citizens.
checkerback,Checker Back,Czechs,Self-explanatory.
checkpoint,Checkpoint,Arabs,They get stopped at all airport security checkpoints.
cheddar,Cheddar,Hispanics,Hispanics who are frequently in the welfare line getting government cheese.
cheech,Cheech,Mexicans,Famous Mexican Cheech Marin
cheesenip,Cheese Nip,Mixed Races,White/Japanese. Mix of Cracker and Nip
cheese-eater,Cheese-Eater,Dutch,Represents their fondness of eating cheese; used mostly by Germans.
cheesehead,Cheesehead,Whites,Wisconsin is the dairybelt; frequently used in a derogatory manner.
cheesehead,Cheesehead,Dutch,Used by Germans during WWII still very offensive today
cheeser/cheesehead,Cheeser/Cheesehead,Canadians,Used primarily in northern Washington State. Refers to Canadians who cross the border to shop for big blocks of inexpensive American Cheese.
chefur,Chefur,Balkan,Comes from the same roots as Kaffir and is used in Slovenia as a derogatory term for anyone originating from one of the former Yugoslav republics.
chernozhopyi,Chernozhopyi,Blacks,Russian term literally translating as 'Black-Assed'. Found here
cherrynigger,Cherry Nigger,Native Americans,Color of their skin.
cherrypicker,Cherry Picker,Hispanics,Hispanics are often limited to low paying jobs such as picking fruit which includes but is not limited to cherries.
cheshirecat,Cheshire Cat,Blacks,From Alice In Wonderland. The only way you see them in the dark is if they open their eyes and smile.
cheskey,Cheskey,Czechs,Play on the word Czech
chesky,Chesky,Czech,česky adverb.  česk� adjective.  is literally pronounced Chesky.  This actually means Czech in the Czech language.  I don't think this is really a slur.
chew,Chew,Mixed Races,Chinese/Jewish
chexmex,Chex Mex,Mixed Races,Czech / Mexican
chexmix,Chex Mix,Mixed Races,Chinese/Mexican
chexican,Chexican,Mixed Races,Mexican/Chinese mix
chic,Chic,Mixed Races,Chinese/Mexican
chicagonavajo,Chicago Navajo,Blacks,Heavy concentration of blacks in Chicago
chickenbandit,Chicken Bandit,Blacks,Refers to one of their favorite foods.
chico,Chico,Hispanics,Spanish for 'little boy'
chief,Chief,Native Americans,Self-explanatory.
chiegro,Chiegro,Chinese,Refers to Chinese people that try to act like Black people or are half Black.
chigger,Chigger,Chinese,See Chiegro. Can also be a Chinese/Black mix or a Chinese person who acts black.
chilango,Chilango,Hispanics,Specifically Mexico City inhabitants. People from Mexico's provinces use it as an insult denoting a lazy tricky cheating person from the big city. Seen on bumper stickers: Haz Patria Mata Un Chilango (Make Mexico great kill a Chilango).
chili,Chili,Hispanics,They tend to eat lots of chili peppers.
chilichoker,Chili Choker,Mexicans,A term used in one of the Cheech & Chong movies
chili-shitter,Chili-Shitter,Hispanics,Self-explanatory.
chinaman,Chinaman,Asians,Self-explanatory.
chindian,Chindian,Nepalese,Nepal is a really small country in between China and India hence Chindian. Could also just as easily refer to a Chinese/Indian mix.
chinee,Chinee,Chinese,An archaic singular for the plural Chinese now considered offensive. Also said to be an emphasis of many Asian's inability to pronounce English.
chinegro,Chinegro,Chileans,All people from sudamerica laughs when they see a chilean and call'em that way. it is a combination of CHIleno + NEGRO (black). it refers to the prominent color of more of the 54% of it's population
ching-chong,Ching-Chong,Asians,Typically used by schoolchildren in a derogatory manner towards Asian people.
chinig,Chinig,Mixed Races,Chinese/Black mix. Combination of 'Chink' and 'Nigger'
chinina,Chinina,Asians,The female version of chino
chink,Chink,Asians,Asian equivalent of Nigger for blacks.  Two possible origins: the dictionary definition is A narrow opening or slit meaning a reference to their eyes. Or could also refer to the sound of someone working on a railroad which Chinese immigrants helped build in 1800's America. Technically should only refer to Chinese but used for all Asians.
chink-a-billy,Chink-a-billy,Chinese,Half Chinese half hillbilly.
chinkaboo,Chinkaboo,Mixed Races,Chinese/Black mix (Chink + Jigaboo)
chinkamo,Chinkamo,Mixed Races,Half Chinese/Half Inuit Eskimo
chinkerbell,Chinkerbell,Asians,Self-Explanatory
chinksta,Chinksta,Chinese,Chinese people who try to act black; like Wanksta for white people.
chinlesswonder,Chinless Wonder,British,Reference to inbreeding and a weak gene pool resulting in poor bone structure.
chino,Chino,Chinese,Spanish for Chinese.
chinxican,Chinxican,Mixed Races,Chinese/Mexican mix.
chiquita,Chiquita,Blacks,The chiquita bananas have the black woman on the sticker
chirp,Chirp,Whites,Bird-like features many english have big noses.
chite,Chite,Whites,White people trying to act Chinese or Asian.
choco,Choco,Blacks,Short for chocolate in reference to skin color.
chocolatedip(per),Chocolate Dip(per),Whites,White men or any non black who date black women.
chocolatedrop,Chocolate Drop,Blacks,Chocolate is brown.
chocolate-coveredmarshmallow,Chocolate-Covered Marshmallow,Blacks,A black guy who acts white.
chocolate-dipper,Chocolate-Dipper,Whites,White women who date Black men.
chod,Chod,Guamanians,Used by Guamanians to denote other lower class Guamanians. ie. Guamanian trash.
chole,Chole,Creole,Self-explanatory.
cholo,Cholo,Mexicans,A term used to refer to Mexican gangsters.
cholo/chola,Cholo/chola,Hispanics,Of uncertain origin. Commonly denotes Hispanic gangster types (in the U.S. not in Mexico)
chombo,Chombo,Blacks,Panamanian derogatory jargon.
chonkey,Chonkey,Mixed Races,Chinese/White
chonky,Chonky,Chinese,Concatenation of Chinese or Chink and Honky. See: Chink Honky.
choo-choo,Choo-Choo,Chinese,Chinese immigrants help build the Pacific railroad.
chop,Chop,Mixed Races,Chinese/Italian. Chink + wop = chop.
chopstick,Chop Stick,Chinese,Refers to the utensils commonly used to eat Chinese food
